"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Clay County, NC"	"37043"	13	10618	Unreliable	Unreliable
	"Cleveland County, NC"	"37045"	118	97474	121.1	99.3
	"Columbus County, NC"	"37047"	58	57638	100.6	84.8
	"Craven County, NC"	"37049"	149	104770	142.2	117.9
	"Cumberland County, NC"	"37051"	316	324049	97.5	118.8
	"Currituck County, NC"	"37053"	23	24077	95.5	86.2
	"Dare County, NC"	"37055"	13	34573	Unreliable	Unreliable
	"Davidson County, NC"	"37057"	182	163260	111.5	94.1
	"Davie County, NC"	"37059"	59	41433	142.4	106.9
	"Duplin County, NC"	"37061"	78	60033	129.9	114.0
	"Durham County, NC"	"37063"	151	279641	54.0	60.1
	"Edgecombe County, NC"	"37065"	111	55954	198.4	169.5
	"Forsyth County, NC"	"37067"	310	358137	86.6	77.5
	"Franklin County, NC"	"37069"	63	61475	102.5	94.9
	"Gaston County, NC"	"37071"	198	208049	95.2	84.1
	"Gates County, NC"	"37073"	20	11869	168.5	125.5
	"Graham County, NC"	"37075"	14	8700	Unreliable	Unreliable
	"Granville County, NC"	"37077"	66	60436	109.2	106.9
	"Greene County, NC"	"37079"	22	21429	102.7	95.7
	"Guilford County, NC"	"37081"	383	500879	76.5	72.0
	"Halifax County, NC"	"37083"	116	54006	214.8	157.9
	"Harnett County, NC"	"37085"	88	122135	72.1	85.5
	"Haywood County, NC"	"37087"	82	58908	139.2	86.8
	"Henderson County, NC"	"37089"	105	108266	97.0	54.0
	"Hertford County, NC"	"37091"	58	24438	237.3	179.2
	"Hoke County, NC"	"37093"	34	50536	67.3	106.0
	"Iredell County, NC"	"37097"	176	162708	108.2	102.0
	"Jackson County, NC"	"37099"	47	40448	116.2	95.5
	"Johnston County, NC"	"37101"	130	174938	74.3	82.3
	"Jones County, NC"	"37103"	12	10275	Unreliable	Unreliable
	"Lee County, NC"	"37105"	66	59715	110.5	97.4
	"Lenoir County, NC"	"37107"	102	59227	172.2	130.3
	"Lincoln County, NC"	"37109"	63	79313	79.4	74.2
	"McDowell County, NC"	"37111"	57	44998	126.7	99.9
	"Macon County, NC"	"37113"	55	33869	162.4	91.4
	"Madison County, NC"	"37115"	18	20742	Unreliable	Unreliable
	"Martin County, NC"	"37117"	51	23961	212.8	144.7
	"Mecklenburg County, NC"	"37119"	335	969031	34.6	43.1
	"Mitchell County, NC"	"37121"	28	15368	182.2	112.7
	"Montgomery County, NC"	"37123"	34	27668	122.9	95.6
	"Moore County, NC"	"37125"	77	90302	85.3	48.0
	"Nash County, NC"	"37127"	107	95708	111.8	94.1
	"New Hanover County, NC"	"37129"	115	209234	55.0	47.5
	"Northampton County, NC"	"37131"	44	21428	205.3	128.9
	"Onslow County, NC"	"37133"	122	183263	66.6	106.6
	"Orange County, NC"	"37135"	73	137941	52.9	60.9
	"Pamlico County, NC"	"37137"	17	13074	Unreliable	Unreliable
	"Pasquotank County, NC"	"37139"	60	40591	147.8	130.1
	"Pender County, NC"	"37141"	59	54195	108.9	89.5
	"Perquimans County, NC"	"37143"	15	13563	Unreliable	Unreliable
	"Person County, NC"	"37145"	50	39268	127.3	105.3
	"Pitt County, NC"	"37147"	208	172554	120.5	139.0
	"Polk County, NC"	"37149"	24	20271	118.4	53.5
	"Randolph County, NC"	"37151"	167	142466	117.2	98.3
	"Richmond County, NC"	"37153"	71	46627	152.3	127.2
	"Robeson County, NC"	"37155"	228	135496	168.3	180.9
	"Rockingham County, NC"	"37157"	147	92720	158.5	119.5
	"Rowan County, NC"	"37159"	185	138180	133.9	107.3
	"Rutherford County, NC"	"37161"	112	67323	166.4	118.8
	"Sampson County, NC"	"37163"	99	63949	154.8	133.8
	"Scotland County, NC"	"37165"	81	36094	224.4	191.5
	"Stanly County, NC"	"37167"	92	60576	151.9	120.1
	"Stokes County, NC"	"37169"	40	46783	85.5	60.0
	"Surry County, NC"	"37171"	94	73561	127.8	96.8
	"Swain County, NC"	"37173"	30	14141	212.1	167.5
	"Transylvania County, NC"	"37175"	32	32849	97.4	52.0
	"Union County, NC"	"37179"	62	208520	29.7	33.5
	"Vance County, NC"	"37181"	53	45132	117.4	98.0
	"Wake County, NC"	"37183"	360	952151	37.8	49.3
	"Warren County, NC"	"37185"	24	20576	116.6	71.2
	"Washington County, NC"	"37187"	23	12736	180.6	125.2
	"Watauga County, NC"	"37189"	33	51871	63.6	68.7
	"Wayne County, NC"	"37191"	125	124246	100.6	91.5
	"Wilkes County, NC"	"37193"	95	69306	137.1	98.8
	"Wilson County, NC"	"37195"	129	81867	157.6	128.2
	"Yadkin County, NC"	"37197"	36	38084	94.5	74.4
	"Yancey County, NC"	"37199"	18	17630	Unreliable	Unreliable
	"Barnes County, ND"	"38003"	15	11015	Unreliable	Unreliable
	"Burleigh County, ND"	"38015"	58	85774	67.6	57.8
	"Cass County, ND"	"38017"	76	156157	48.7	55.1
	"Dickey County, ND"	"38021"	12	5268	Unreliable	Unreliable
	"Grand Forks County, ND"	"38035"	53	67472	78.6	84.8
	"McLean County, ND"	"38055"	11	9309	Unreliable	Unreliable
	"Morton County, ND"	"38059"	16	28101	Unreliable	Unreliable
	"Pembina County, ND"	"38067"	13	7271	Unreliable	Unreliable
	"Pierce County, ND"	"38069"	21	4457	471.2	206.5
	"Ramsey County, ND"	"38071"	26	11536	225.4	139.5
	"Ransom County, ND"	"38073"	10	5444	Unreliable	Unreliable
	"Richland County, ND"	"38077"	18	16217	Unreliable	Unreliable
	"Rolette County, ND"	"38079"	31	14382	215.5	260.3
	"Stark County, ND"	"38089"	31	26771	115.8	85.5
	"Stutsman County, ND"	"38093"	25	20934	119.4	77.3
	"Walsh County, ND"	"38099"	15	11046	Unreliable	Unreliable
	"Ward County, ND"	"38101"	47	64798	72.5	66.1
	"Williams County, ND"	"38105"	28	26697	104.9	88.6
	"Adams County, OH"	"39001"	42	28350	148.1	124.8
	"Allen County, OH"	"39003"	134	105141	127.4	97.8
	"Ashland County, OH"	"39005"	96	52962	181.3	139.0
	"Ashtabula County, OH"	"39007"	145	100389	144.4	110.7
	"Athens County, OH"	"39009"	42	64304	65.3	78.6
	"Auglaize County, OH"	"39011"	66	45831	144.0	100.0
	"Belmont County, OH"	"39013"	115	69671	165.1	110.1
	"Brown County, OH"	"39015"	35	44381	78.9	65.9
	"Butler County, OH"	"39017"	316	370589	85.3	84.6
	"Carroll County, OH"	"39019"	36	28587	125.9	88.0
	"Champaign County, OH"	"39021"	69	39565	174.4	144.1
	"Clark County, OH"	"39023"	225	137206	164.0	123.2
	"Clermont County, OH"	"39025"	122	199085	61.3	59.3
	"Clinton County, OH"	"39027"	46	41886	109.8	98.9
	"Columbiana County, OH"	"39029"	166	106507	155.9	111.9
	"Coshocton County, OH"	"39031"	44	36779	119.6	87.8
	"Crawford County, OH"	"39033"	42	42849	98.0	66.0
	"Cuyahoga County, OH"	"39035"	1393	1265111	110.1	83.1
	"Darke County, OH"	"39037"	68	52507	129.5	92.4
	"Defiance County, OH"	"39039"	64	38677	165.5	128.9
	"Delaware County, OH"	"39041"	88	181061	48.6	59.6
	"Erie County, OH"	"39043"	78	76398	102.1	68.9
	"Fairfield County, OH"	"39045"	157	147474	106.5	102.8
	"Fayette County, OH"	"39047"	31	28880	107.3	91.5
	"Franklin County, OH"	"39049"	959	1195537	80.2	91.8
	"Fulton County, OH"	"39051"	44	42513	103.5	88.0
	"Gallia County, OH"	"39053"	47	30708	153.1	121.9
	"Geauga County, OH"	"39055"	74	93680	79.0	58.1
	"Greene County, OH"	"39057"	169	163587	103.3	87.7
	"Guernsey County, OH"	"39059"	70	39817	175.8	135.2
	"Hamilton County, OH"	"39061"	770	802038	96.0	83.8
	"Hancock County, OH"	"39063"	79	75671	104.4	82.7
	"Hardin County, OH"	"39065"	37	31627	117.0	101.4
	"Harrison County, OH"	"39067"	34	15714	216.4	141.8
	"Henry County, OH"	"39069"	36	28045	128.4	92.6
	"Highland County, OH"	"39071"	56	42998	130.2	105.6
	"Hocking County, OH"	"39073"	38	29273	129.8	110.7
	"Holmes County, OH"	"39075"	31	43025	72.1	73.6
	"Huron County, OH"	"39077"	62	59280	104.6	91.5
	"Jackson County, OH"	"39079"	56	32954	169.9	142.7
	"Jefferson County, OH"	"39081"	98	68389	143.3	97.0
	"Knox County, OH"	"39083"	72	60705	118.6	101.5
	"Lake County, OH"	"39085"	230	229582	100.2	72.3
	"Lawrence County, OH"	"39087"	104	62109	167.4	134.8
	"Licking County, OH"	"39089"	216	167537	128.9	116.6
	"Logan County, OH"	"39091"	42	45474	92.4	73.8
	"Lorain County, OH"	"39093"	338	301478	112.1	90.4
	"Lucas County, OH"	"39095"	535	437998	122.1	106.4
	"Madison County, OH"	"39097"	45	43053	104.5	100.3
	"Mahoning County, OH"	"39099"	272	235145	115.7	74.6
	"Marion County, OH"	"39101"	109	66238	164.6	133.3
	"Medina County, OH"	"39103"	127	173684	73.1	65.9
	"Meigs County, OH"	"39105"	33	23593	139.9	112.1
	"Mercer County, OH"	"39107"	70	40875	171.3	123.0
	"Miami County, OH"	"39109"	143	103060	138.8	109.1
	"Monroe County, OH"	"39111"	19	14549	Unreliable	Unreliable
	"Montgomery County, OH"	"39113"	661	534325	123.7	96.2
	"Morgan County, OH"	"39115"	25	14911	167.7	117.7
	"Morrow County, OH"	"39117"	29	34938	83.0	73.3
	"Muskingum County, OH"	"39119"	65	85950	75.6	61.1
	"Noble County, OH"	"39121"	17	14579	Unreliable	Unreliable
	"Ottawa County, OH"	"39123"	54	41339	130.6	82.8
	"Paulding County, OH"	"39125"	26	19295	134.7	104.8
	"Perry County, OH"	"39127"	30	36015	83.3	77.5
	"Pickaway County, OH"	"39129"	94	56399	166.7	157.1
	"Pike County, OH"	"39131"	22	28480	77.2	65.3
	"Portage County, OH"	"39133"	133	161451	82.4	78.4
	"Preble County, OH"	"39135"	60	41886	143.2	112.1
	"Putnam County, OH"	"39137"	35	34198	102.3	81.9
	"Richland County, OH"	"39139"	171	122673	139.4	102.0
	"Ross County, OH"	"39141"	91	77429	117.5	101.4
	"Sandusky County, OH"	"39143"	96	60510	158.7	119.7
	"Scioto County, OH"	"39145"	106	78477	135.1	106.4
	"Seneca County, OH"	"39147"	89	56018	158.9	121.8
